Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
246,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,27,1992,28.0,694,928,74.8,17326,9461,4,5,80.0,448,452,99.1,242,471,51.4,0,0.0,0.0,0,3,0,0,0,Matches
247,Jefferson Lerma\Jefferson-Lerma,co COL,MF,Bournemouth,24,1994,21.6,818,1025,79.8,16336,4899,14,32,43.8,603,697,86.5,201,296,67.9,2,1.6,+0.4,9,89,12,0,100,Matches
248,Jamal Lewis\Jamal-Lewis,nir NIR,DF,Norwich City,21,1998,16.6,722,910,79.3,11744,4512,12,43,27.9,621,723,85.9,89,144,61.8,0,0.4,-0.4,6,31,13,4,82,Matches
249,Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,25,1994,26.0,1245,1438,86.6,25254,8042,10,28,35.7,898,970,92.6,337,440,76.6,0,0.4,-0.4,4,66,1,0,78,Matches
250,Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,Manchester Utd,26,1992,9.9,334,391,85.4,4951,932,15,25,60.0,282,316,89.2,37,50,74.0,0,0.8,-0.8,16,31,10,0,32,Matches
251,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,32,1986,11.1,247,337,73.3,7510,4704,2,2,100.0,125,126,99.2,120,209,57.4,0,0.0,0.0,0,4,0,0,0,Matches
252,Giovani Lo Celso\Giovani-Lo-Celso,ar ARG,MFFW,Tottenham,23,1996,9.7,464,564,82.3,8639,2275,8,18,44.4,359,405,88.6,97,141,68.8,0,0.9,-0.9,17,53,14,1,61,Matches
253,Jürgen Locadia\Jurgen-Locadia,nl NED,MFFW,Brighton,25,1993,1.0,9,19,47.4,136,8,0,3,0.0,9,15,60.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
254,Kevin Long\Kevin-Long,ie IRL,MF,Burnley,28,1990,0.0,1,3,33.3,14,12,0,0,,1,3,33.3,0,0,,0,0.0,0.0,0,1,0,0,1,Matches
255,Shane Long\Shane-Long,ie IRL,FW,Southampton,32,1987,12.7,188,341,55.1,2446,630,12,34,35.3,164,273,60.1,12,34,35.3,2,1.2,+0.8,13,13,9,4,27,Matches
256,Matthew Longstaff\Matthew-Longstaff,eng ENG,MF,Newcastle Utd,19,2000,6.1,183,225,81.3,3430,641,3,8,37.5,138,159,86.8,42,58,72.4,0,0.2,-0.2,3,12,4,1,13,Matches
257,Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,21,1997,14.4,495,634,78.1,9791,2389,9,25,36.0,366,423,86.5,120,186,64.5,1,0.9,+0.1,15,40,4,1,51,Matches
258,Dejan Lovren\Dejan-Lovren,hr CRO,DF,Liverpool,30,1989,8.4,517,587,88.1,11703,3420,1,5,20.0,336,359,93.6,180,223,80.7,1,0.4,+0.6,1,41,4,0,33,Matches
259,Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,30,1989,15.0,440,648,67.9,8861,3894,8,24,33.3,313,387,80.9,119,237,50.2,1,1.1,-0.1,12,42,16,4,90,Matches
260,David Luiz\David-Luiz,br BRA,DF,Arsenal,32,1987,24.3,1175,1361,86.3,28777,7997,8,18,44.4,694,737,94.2,473,606,78.1,1,1.0,0.0,4,83,9,1,74,Matches
261,Douglas Luiz\Douglas-Luiz,br BRA,MF,Aston Villa,21,1998,19.0,672,822,81.8,13791,3051,9,20,45.0,456,531,85.9,207,271,76.4,2,0.8,+1.2,10,77,15,3,74,Matches
262,John Lundstram\John-Lundstram,eng ENG,MF,Sheffield Utd,25,1994,23.0,806,999,80.7,15426,3273,19,49,38.8,598,695,86.0,189,255,74.1,3,2.7,+0.3,19,63,28,4,83,Matches
263,Alexis Mac Allister\Alexis-Mac-Allister,ar ARG,FW,Brighton,20,1998,0.1,5,9,55.6,69,35,0,0,,5,6,83.3,0,3,0.0,0,0.0,0.0,0,1,0,0,1,Matches
264,James Maddison\James-Maddison,eng ENG,MF,Leicester City,22,1996,26.7,1156,1511,76.5,23449,7169,21,51,41.2,802,929,86.3,333,531,62.7,3,6.8,-3.8,80,139,38,4,218,Matches
265,Harry Maguire\Harry-Maguire,eng ENG,DF,Manchester Utd,26,1993,29.0,1513,1737,87.1,33334,8553,10,17,58.8,993,1090,91.1,510,630,81.0,1,0.5,+0.5,13,124,3,0,85,Matches
266,Riyad Mahrez\Riyad-Mahrez,dz ALG,FWMF,Manchester City,28,1991,15.4,734,873,84.1,13218,3197,11,32,34.4,575,634,90.7,148,207,71.5,8,7.0,+1.0,44,37,55,7,109,Matches
267,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,21,1997,13.4,737,889,82.9,12502,4265,17,33,51.5,600,672,89.3,120,184,65.2,2,1.5,+0.5,9,45,11,5,65,Matches
268,Sadio Mané\Sadio-Mane,sn SEN,FW,Liverpool,27,1992,23.2,680,852,79.8,11075,2735,15,46,32.6,563,664,84.8,102,142,71.8,7,5.2,+1.8,39,43,43,7,91,Matches
269,Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,25,1994,10.7,238,351,67.8,3874,1526,7,23,30.4,202,257,78.6,29,71,40.8,1,0.3,+0.7,4,17,5,4,38,Matches
270,Solly March\Solly-March,eng ENG,DFFW,Brighton,25,1994,9.8,365,492,74.2,6529,1818,3,26,11.5,295,340,86.8,67,126,53.2,1,0.5,+0.5,11,16,17,6,58,Matches
271,Pablo Marí\Pablo-Mari,es ESP,DF,Arsenal,25,1993,1.0,67,74,90.5,1437,345,0,1,0.0,40,40,100.0,27,33,81.8,0,0.0,0.0,0,4,0,0,4,Matches
272,Adrian Mariappa\Adrian-Mariappa,jm JAM,DF,Watford,32,1986,13.6,336,462,72.7,6864,2824,5,12,41.7,232,281,82.6,99,169,58.6,0,0.4,-0.4,4,25,3,3,51,Matches
273,Anthony Martial\Anthony-Martial,fr FRA,FW,Manchester Utd,23,1995,20.9,414,516,80.2,5749,1251,22,52,42.3,355,414,85.7,37,50,74.0,3,2.3,+0.7,20,26,21,1,48,Matches
