Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
394,Ezequiel Schelotto\Ezequiel-Schelotto,it ITA,DF,Brighton,30,1989,3.2,3,0.93,1,0,0,1,1,1,0.31,0,0,0,0,1,0,Matches
395,Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,MFDF,Crystal Palace,26,1992,9.5,13,1.36,9,0,1,1,2,2,0.21,2,0,0,0,0,0,Matches
396,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,32,1986,29.0,2,0.07,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
397,Morgan Schneiderlin\Morgan-Schneiderlin,fr FRA,MF,Everton,29,1989,11.1,17,1.53,15,0,1,1,0,1,0.09,1,0,0,0,0,0,Matches
398,Ryan Sessegnon\Ryan-Sessegnon,eng ENG,DF,Tottenham,19,2000,3.8,4,1.06,4,0,0,0,0,1,0.26,1,0,0,0,0,0,Matches
399,Xherdan Shaqiri\Xherdan-Shaqiri,ch SUI,FW,Liverpool,27,1991,1.9,3,1.55,2,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
400,Billy Sharp\Billy-Sharp,eng ENG,FW,Sheffield Utd,33,1986,7.4,20,2.71,12,0,2,2,4,1,0.14,0,0,0,1,0,0,Matches
401,Luke Shaw\Luke-Shaw,eng ENG,DF,Manchester Utd,24,1995,13.7,29,2.11,24,3,0,1,1,1,0.07,1,0,0,0,0,0,Matches
402,Jonjo Shelvey\Jonjo-Shelvey,eng ENG,MF,Newcastle Utd,27,1992,14.9,38,2.55,27,8,2,1,0,2,0.13,0,1,1,0,0,0,Matches
403,Djibril Sidibé\Djibril-Sidibe,fr FRA,DF,Everton,27,1992,18.2,33,1.81,28,3,0,0,2,4,0.22,4,0,0,0,0,0,Matches
404,Gylfi Sigurðsson\Gylfi-Sigurdsson,is ISL,MF,Everton,29,1989,22.2,69,3.11,25,28,4,10,2,7,0.32,4,1,1,1,0,0,Matches
405,Bernardo Silva\Bernardo-Silva,pt POR,FWMF,Manchester City,24,1994,16.6,68,4.09,57,2,6,2,1,9,0.54,7,0,2,0,0,0,Matches
406,David Silva\David-Silva,es ESP,MF,Manchester City,33,1986,14.0,70,5.00,60,1,4,3,2,10,0.71,7,1,1,1,0,0,Matches
407,Jack Simpson\Jack-Simpson,eng ENG,DF,Bournemouth,22,1997,2.6,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
408,Moussa Sissoko\Moussa-Sissoko,fr FRA,MF,Tottenham,29,1989,18.8,19,1.01,18,0,1,0,0,2,0.11,2,0,0,0,0,0,Matches
409,Oliver Skipp\Oliver-Skipp,eng ENG,MFDF,Tottenham,18,2000,0.6,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
410,William Smallbone\William-Smallbone,ie IRL,MF,Southampton,19,2000,1.8,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
411,Adam Smith\Adam-Smith,eng ENG,DF,Bournemouth,28,1991,17.3,16,0.92,14,0,1,0,1,1,0.06,1,0,0,0,0,0,Matches
412,Emile Smith-Rowe\Emile-Smith-Rowe,eng ENG,MF,Arsenal,19,2000,1.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
413,Robert Snodgrass\Robert-Snodgrass,sco SCO,MFFW,West Ham,31,1987,16.8,51,3.04,19,24,3,1,4,7,0.42,3,4,0,0,0,0,Matches
414,Cédric Soares\Cedric-Soares,pt POR,DF,Southampton,27,1991,14.5,23,1.58,21,2,0,0,0,2,0.14,1,1,0,0,0,0,Matches
415,Dominic Solanke\Dominic-Solanke,eng ENG,FWMF,Bournemouth,21,1997,13.1,32,2.44,25,0,1,3,3,3,0.23,2,0,0,1,0,0,Matches
416,Tomáš Souček\Tomas-Soucek,cz CZE,MF,West Ham,24,1995,2.6,1,0.39,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
417,Çağlar Söyüncü\Caglar-Soyuncu,tr TUR,DF,Leicester City,23,1996,28.0,11,0.39,9,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
418,Dennis Srbeny\Dennis-Srbeny,de GER,MFFW,Norwich City,25,1994,0.4,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
419,Jack Stacey\Jack-Stacey,eng ENG,DF,Bournemouth,23,1996,11.9,12,1.01,11,0,1,0,0,2,0.17,2,0,0,0,0,0,Matches
420,Junior Stanislas\Junior-Stanislas,eng ENG,MFFW,Bournemouth,29,1989,2.5,5,2.02,3,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
421,Jed Steer\Jed-Steer,eng ENG,GK,Aston Villa,26,1992,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
422,Dale Stephens\Dale-Stephens,eng ENG,MF,Brighton,30,1989,21.6,33,1.53,31,0,0,2,0,3,0.14,3,0,0,0,0,0,Matches
423,Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,25,1994,20.3,10,0.49,8,1,1,0,0,3,0.15,3,0,0,0,0,0,Matches
424,Raheem Sterling\Raheem-Sterling,eng ENG,FW,Manchester City,24,1994,22.5,89,3.96,65,0,8,9,7,7,0.31,5,0,0,1,1,0,Matches
425,Enda Stevens\Enda-Stevens,ie IRL,DF,Sheffield Utd,29,1990,27.2,57,2.10,44,6,4,3,0,6,0.22,5,0,1,0,0,0,Matches
426,Marco Stiepermann\Marco-Stiepermann,de GER,MF,Norwich City,28,1991,10.4,28,2.69,22,0,5,1,0,2,0.19,2,0,0,0,0,0,Matches
427,John Stones\John-Stones,eng ENG,DF,Manchester City,25,1994,10.1,10,0.99,10,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
428,Isaac Success\Isaac-Success,ng NGA,FWMF,Watford,23,1996,0.7,4,5.54,2,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
429,Ki Sung-yueng\Ki-Sung-yueng,kr KOR,MF,Newcastle Utd,30,1989,1.5,2,1.32,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
430,Andrew Surman\Andrew-Surman,eng ENG,MF,Bournemouth,32,1986,2.6,1,0.38,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
431,Sam Surridge\Sam-Surridge,eng ENG,FW,Bournemouth,21,1998,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
432,Japhet Tanganga\Japhet-Tanganga,eng ENG,DF,Tottenham,20,1999,5.8,2,0.34,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
433,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,23,1995,18.8,44,2.34,36,6,0,1,1,4,0.21,3,0,0,1,0,0,Matches
434,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,26,1992,29.0,18,0.62,15,0,0,3,0,4,0.14,2,0,0,2,0,0,Matches
435,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,25,1993,15.3,17,1.11,16,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
436,Neil Taylor\Neil-Taylor,wal WAL,DF,Aston Villa,30,1989,8.8,5,0.57,5,0,0,0,0,2,0.23,2,0,0,0,0,0,Matches
437,Alexander Tettey\Alexander-Tettey,no NOR,MFDF,Norwich City,33,1986,19.9,14,0.70,12,0,0,2,0,1,0.05,1,0,0,0,0,0,Matches
438,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,22,1997,23.9,63,2.63,58,1,0,1,3,8,0.33,8,0,0,0,0,0,Matches
439,Kieran Tierney\Kieran-Tierney,sco SCO,DF,Arsenal,22,1997,3.3,7,2.11,5,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
440,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,30,1989,17.6,5,0.28,4,0,0,0,1,1,0.06,1,0,0,0,0,0,Matches
441,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,21,1997,14.4,14,0.97,14,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
442,Lucas Torreira\Lucas-Torreira,uy URU,MF,Arsenal,23,1996,15.2,28,1.84,19,3,2,2,2,2,0.13,2,0,0,0,0,0,Matches
443,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,28,1991,3.2,7,2.17,6,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
444,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Crystal Palace,28,1991,2.0,2,1.02,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
445,Andros Townsend\Andros-Townsend,eng ENG,MF,Crystal Palace,28,1991,8.8,12,1.36,10,0,0,1,1,2,0.23,2,0,0,0,0,0,Matches
446,Adama Traoré\Adama-Traore,es ESP,FWDF,Wolves,23,1996,23.0,72,3.13,52,0,12,0,8,11,0.48,8,0,1,0,2,0,Matches
447,Mark Travers\Mark-Travers,ie IRL,GK,Bournemouth,20,1999,1.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
448,Trézéguet\Trezeguet,eg EGY,FWMF,Aston Villa,24,1994,14.7,35,2.38,20,2,5,4,4,2,0.14,1,0,0,0,1,0,Matches
449,Leandro Trossard\Leandro-Trossard,be BEL,FWMF,Brighton,24,1994,16.0,64,3.99,45,9,4,3,2,9,0.56,4,2,1,1,0,1,Matches
450,Tom Trybull\Tom-Trybull,de GER,MF,Norwich City,26,1993,11.4,8,0.70,6,0,1,1,0,1,0.09,1,0,0,0,0,0,Matches
451,Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,Manchester Utd,21,1997,2.1,2,0.97,1,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
452,Yan Valery\Yan-Valery,fr FRA,DF,Southampton,20,1999,7.2,4,0.56,3,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
453,Jesús Vallejo\Jesus-Vallejo,es ESP,DF,Wolves,22,1997,1.8,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
454,Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,32,1987,24.7,40,1.62,25,0,8,3,3,11,0.45,5,0,2,1,2,1,Matches
455,Indiana Vassilev\Indiana-Vassilev,us USA,FW,Aston Villa,18,2001,0.4,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
456,Jan Vertonghen\Jan-Vertonghen,be BEL,DF,Tottenham,32,1987,17.2,8,0.47,7,1,0,0,0,1,0.06,1,0,0,0,0,0,Matches
457,Jannik Vestergaard\Jannik-Vestergaard,dk DEN,DF,Southampton,26,1992,12.6,5,0.40,5,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches
