Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
56,Gaëtan Bong\Gaetan-Bong,cm CMR,MFDF,Brighton,31,1988,0.6,35,32,3,1,0,3,1,5,0,0,0,0,23,2,10,32,1,0,2,0,24,0,1,1,3,Matches
57,Sofiane Boufal\Sofiane-Boufal,ma MAR,MFFW,Southampton,25,1993,8.4,324,316,8,1,1,96,8,27,1,0,0,0,221,54,49,62,235,12,6,1,246,0,9,6,14,Matches
58,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,22,1996,2.0,45,45,0,0,1,13,0,6,0,0,0,0,22,11,12,34,9,2,0,0,32,0,1,1,5,Matches
59,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,27,1992,4.4,122,115,7,3,0,40,3,10,3,3,0,0,63,18,41,83,18,12,1,0,73,1,5,5,3,Matches
60,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,3.8,132,96,36,8,0,20,5,0,0,0,0,0,69,15,48,11,105,0,0,13,101,0,4,2,0,Matches
61,Armando Broja\Armando-Broja,al ALB,FW,Chelsea,17,2001,0.0,2,2,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,0,0,0,0,Matches
62,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,23,1995,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,Matches
63,Emi Buendía\Emi-Buendia,ar ARG,FWMF,Norwich City,22,1996,22.4,1283,1126,157,56,13,314,76,137,87,42,40,3,875,165,243,158,1074,24,14,2,971,5,19,36,45,Matches
64,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,27,1992,23.9,1476,1258,218,8,1,283,17,39,0,0,0,0,831,297,348,980,136,82,210,2,1145,2,33,18,52,Matches
65,Sam Byram\Sam-Byram,eng ENG,DF,Norwich City,25,1993,14.4,763,624,139,11,0,145,2,7,0,0,0,0,406,199,158,107,450,54,128,5,625,2,17,7,16,Matches
66,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,37,1981,4.0,125,101,24,2,0,12,3,0,0,0,0,0,57,3,65,19,88,0,0,10,88,0,2,0,0,Matches
67,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,33,1985,20.0,788,757,31,28,0,142,20,0,0,0,0,0,545,100,143,76,614,54,3,7,690,0,15,2,8,Matches
68,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,22,1997,21.2,453,432,21,2,2,173,5,15,0,0,0,0,199,148,106,46,240,50,1,19,305,2,8,6,19,Matches
69,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Crystal Palace,25,1994,0.1,3,3,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,Matches
70,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,25,1994,8.7,726,650,76,5,2,99,19,27,1,0,1,0,507,133,86,91,538,19,70,3,635,3,9,11,13,Matches
71,Todd Cantwell\Todd-Cantwell,eng ENG,FW,Norwich City,21,1998,23.1,940,911,29,11,0,230,25,21,4,0,1,0,689,156,95,77,808,29,11,8,747,3,25,21,33,Matches
72,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,31,1988,23.8,1204,1159,45,16,3,161,53,12,4,3,1,0,734,209,261,185,901,82,2,8,987,3,14,13,16,Matches
73,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,30,1989,5.6,163,159,4,0,1,80,5,5,0,0,0,0,53,55,55,59,32,12,0,10,100,1,7,2,3,Matches
74,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,25,1994,24.4,1074,843,231,5,0,222,13,43,2,1,0,0,588,336,150,240,540,43,224,5,870,3,19,18,31,Matches
75,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,30,1989,26.2,800,778,22,18,0,126,30,1,0,0,0,0,495,108,197,187,510,64,4,3,672,2,13,7,5,Matches
76,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,22,1996,10.1,740,688,52,14,2,134,28,39,35,7,7,4,541,92,107,38,689,5,3,2,631,2,10,10,16,Matches
77,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MF,Watford,24,1994,8.6,292,273,19,5,1,75,13,16,12,2,2,4,173,65,54,50,212,21,1,0,219,0,7,6,12,Matches
78,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,24,1995,12.3,865,773,92,8,0,159,15,34,0,0,0,0,594,144,127,54,684,27,83,1,702,1,10,9,31,Matches
79,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,22,1996,22.9,1670,1408,262,28,2,283,28,86,7,0,3,0,1003,324,343,1206,161,41,227,3,1308,3,35,27,54,Matches
80,Tahith Chong\Tahith-Chong,nl NED,FWMF,Manchester Utd,19,1999,0.4,14,14,0,0,0,2,0,0,0,0,0,0,13,1,0,14,0,0,0,0,9,0,1,2,1,Matches
81,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,21,1997,8.7,444,434,10,10,0,53,4,3,0,0,0,0,349,40,55,32,373,33,0,1,388,0,4,7,6,Matches
82,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,23,1996,14.0,812,785,27,23,1,124,24,0,0,0,0,0,679,52,81,51,714,20,4,1,749,2,12,6,3,Matches
83,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,29,1989,13.2,322,297,25,10,0,58,7,0,0,0,0,0,182,43,97,227,42,24,15,1,253,0,9,2,4,Matches
84,Leon Clarke\Leon-Clarke,eng ENG,MF,Sheffield Utd,34,1985,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,0,0,3,0,0,0,0,Matches
85,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,29,1989,7.3,322,311,11,1,1,51,8,16,3,0,1,2,199,59,64,36,260,16,5,1,263,1,6,3,9,Matches
86,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,26,1993,29.0,1312,1284,28,27,3,168,74,0,0,0,0,0,796,141,375,45,1174,76,1,4,1122,3,19,15,9,Matches
87,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,30,1988,13.2,755,584,171,7,1,143,5,36,0,0,0,0,373,192,190,81,468,33,164,0,587,3,13,18,35,Matches
88,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,19,2000,9.3,115,104,11,0,1,40,0,8,0,0,0,0,58,40,17,17,75,9,1,5,84,0,1,4,8,Matches
89,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,22,1997,11.2,547,535,12,9,5,109,14,9,1,0,0,0,333,118,96,37,478,19,2,1,425,4,10,10,20,Matches
90,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,28,1991,20.5,979,927,52,36,0,144,15,2,0,0,0,0,621,122,236,36,827,69,16,0,801,4,17,6,10,Matches
91,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,30,1989,26.3,845,838,7,3,3,213,26,6,0,0,0,0,537,125,183,97,653,51,4,2,665,6,13,9,14,Matches
92,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,29,1989,22.5,1279,978,301,31,3,199,26,98,14,8,5,0,591,291,397,919,55,25,256,0,943,5,33,15,62,Matches
93,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Wolves,21,1998,3.2,56,49,7,0,0,21,2,6,0,0,0,0,33,11,12,9,40,1,0,3,38,0,4,1,0,Matches
94,Diogo Dalot\Diogo-Dalot,pt POR,DF,Manchester Utd,20,1999,0.7,64,50,14,0,0,8,0,3,1,0,0,0,34,20,10,7,40,2,13,1,51,0,1,2,1,Matches
95,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,32,1986,1.4,49,39,10,4,0,7,4,5,0,0,0,0,25,9,15,42,1,0,6,0,35,2,4,0,0,Matches
96,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,32,1987,7.1,264,254,10,10,0,42,4,0,0,0,0,0,167,48,49,33,195,25,0,2,219,0,4,4,5,Matches
97,Kevin Danso\Kevin-Danso,at AUT,DF,Southampton,20,1998,3.1,159,125,34,1,0,32,4,4,0,0,0,0,93,24,42,10,105,6,33,0,115,0,4,5,3,Matches
98,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,26,1993,7.0,407,328,79,8,1,57,6,15,0,0,0,0,234,87,86,276,28,20,71,1,302,1,8,18,15,Matches
99,Tom Davies\Tom-Davies,eng ENG,MF,Everton,21,1998,15.2,579,558,21,8,5,118,16,7,0,0,0,0,353,116,110,67,443,47,5,2,451,3,11,10,17,Matches
100,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,21,1998,1.4,36,34,2,0,0,13,0,0,0,0,0,0,27,6,3,26,6,1,0,1,29,0,0,0,3,Matches
101,Craig Dawson\Craig-Dawson,eng ENG,DF,Watford,29,1990,17.2,618,591,27,10,0,104,25,4,0,0,0,0,373,97,148,28,505,38,17,6,500,3,19,6,8,Matches
102,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,28,1991,24.0,1735,1522,213,39,22,308,100,244,145,45,41,16,1144,231,360,186,1479,32,26,3,1293,9,26,50,79,Matches
