Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
140,Pablo Fornals\Pablo-Fornals,es ESP,MF,West Ham,23,1996,16.3,2,0,0,13,10,7,48,15,21,0,0,0,114,6,32,15.8,Matches
141,Ben Foster\Ben-Foster,eng ENG,GK,Watford,36,1983,29.0,1,0,0,2,3,0,0,0,0,0,2,0,169,1,0,100.0,Matches
142,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,MFDF,Watford,26,1993,0.6,0,0,0,0,0,0,1,2,1,0,0,0,4,0,2,0.0,Matches
143,Juan Foyth\Juan-Foyth,ar ARG,DF,Tottenham,21,1998,0.7,1,0,0,2,1,0,0,2,4,0,0,0,11,1,0,100.0,Matches
144,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,34,1985,10.7,5,1,1,7,1,0,16,20,12,0,0,0,118,49,27,64.5,Matches
145,Ryan Fraser\Ryan-Fraser,sco SCO,MFFW,Bournemouth,25,1994,22.9,2,0,0,10,36,1,173,16,8,0,0,0,139,10,26,27.8,Matches
146,Fred\Fred,br BRA,MF,Manchester Utd,26,1993,22.5,7,0,0,39,35,1,62,36,47,0,0,0,302,8,14,36.4,Matches
147,Ryan Fredericks\Ryan-Fredericks,eng ENG,DF,West Ham,26,1992,18.8,5,0,0,21,15,0,46,18,35,0,0,0,144,20,32,38.5,Matches
148,Luke Freeman\Luke-Freeman,eng ENG,MF,Sheffield Utd,27,1992,3.6,2,0,0,6,5,0,15,8,4,0,0,0,31,4,4,50.0,Matches
149,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,33,1986,7.0,0,0,0,3,0,1,11,13,9,0,0,0,69,18,15,54.5,Matches
150,Eric García\Eric-Garcia,es ESP,DF,Manchester City,18,2001,3.0,0,0,0,2,1,0,0,5,2,0,0,0,19,2,8,20.0,Matches
151,James Garner\James-Garner,eng ENG,MF,Manchester Utd,18,2001,0.1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,Matches
152,Dwight Gayle\Dwight-Gayle,eng ENG,FW,Newcastle Utd,28,1990,4.2,1,0,0,3,6,1,3,1,5,0,0,0,8,12,19,38.7,Matches
153,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,27,1992,17.9,1,0,0,1,2,0,0,0,0,0,1,0,80,0,0,,Matches
154,Jean-Philippe Gbamin\Jean-Philippe-Gbamin,ci CIV,MF,Everton,23,1995,1.5,0,0,0,2,2,0,0,1,4,0,0,0,15,2,2,50.0,Matches
155,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,28,1990,29.0,2,0,0,0,6,0,0,0,0,0,0,0,119,0,0,,Matches
156,Anwar El Ghazi\Anwar-El-Ghazi,nl NED,FWMF,Aston Villa,24,1995,18.7,3,0,0,16,14,11,87,9,9,0,0,0,96,27,43,38.6,Matches
157,Morgan Gibbs-White\Morgan-Gibbs-White,eng ENG,MFFW,Wolves,19,2000,1.4,0,0,0,2,1,0,3,1,0,0,0,0,13,3,3,50.0,Matches
158,Billy Gilmour\Billy-Gilmour,sco SCO,MF,Chelsea,18,2001,1.1,0,0,0,2,1,0,1,1,2,0,0,0,14,1,2,33.3,Matches
159,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,32,1986,4.9,0,0,0,8,2,5,2,1,1,0,0,0,16,20,20,50.0,Matches
160,Ben Godfrey\Ben-Godfrey,eng ENG,DF,Norwich City,21,1998,20.4,2,1,0,8,3,0,3,18,15,0,1,0,179,42,20,67.7,Matches
161,André Gomes\Andre-Gomes,pt POR,MF,Everton,26,1993,8.8,5,0,0,21,12,0,5,3,14,0,0,0,97,6,10,37.5,Matches
162,Angel Gomes\Angel-Gomes,eng ENG,MF,Manchester Utd,18,2000,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
163,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,22,1997,14.2,3,0,0,13,9,0,7,22,12,0,0,0,200,45,24,65.2,Matches
164,Anthony Gordon\Anthony-Gordon,eng ENG,MFFW,Everton,18,2001,0.7,0,0,0,3,1,0,0,2,0,0,0,0,3,0,2,0.0,Matches
165,Dan Gosling\Dan-Gosling,eng ENG,MF,Bournemouth,29,1990,9.8,1,0,0,15,10,2,1,12,14,0,0,0,79,18,22,45.0,Matches
