Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
41,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,27.0,1490,213,750,749,36,13,1439,2,2,100.0,2,0,655,2775,1322,709,698,98.4,4,0,Matches
42,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,6.9,499,19,154,262,120,14,425,6,15,40.0,9,2,311,1807,1114,341,314,92.1,6,7,Matches
43,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,6.7,315,50,166,134,27,7,300,0,0,,0,0,144,477,235,162,157,96.9,0,3,Matches
44,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,3.0,164,8,41,109,18,2,158,1,2,50.0,1,0,102,404,168,107,101,94.4,0,2,Matches
45,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,28,1990,10.2,398,28,41,174,202,72,388,13,22,59.1,15,0,201,1480,854,546,289,52.9,30,23,Matches
46,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,28,1990,4.5,157,7,25,45,98,20,149,4,6,66.7,4,1,111,786,367,139,98,70.5,3,4,Matches
47,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,21,1998,2.3,108,3,17,50,49,6,106,3,5,60.0,3,0,67,486,198,83,66,79.5,3,3,Matches
48,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,21,1997,4.6,179,2,16,92,84,19,172,4,13,30.8,5,0,120,890,585,190,115,60.5,5,11,Matches
49,Bernard\Bernard,br BRA,MFFW,Everton,26,1992,11.4,606,8,64,305,292,47,594,31,52,59.6,35,1,486,3082,1749,554,442,79.8,28,23,Matches
50,Bernardo\Bernardo,br BRA,DF,Brighton,24,1995,6.0,395,20,133,174,115,13,348,9,11,81.8,10,0,237,1500,866,260,227,87.3,11,9,Matches
51,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,29,1989,22.5,1420,44,287,665,550,41,1121,6,20,30.0,7,1,703,4235,2321,854,738,86.4,24,29,Matches
52,Muhamed Bešić\Muhamed-Besic,ba BIH,MF,Sheffield Utd,26,1992,2.7,137,9,36,59,49,3,136,9,10,90.0,9,0,96,489,174,96,84,87.5,2,2,Matches
